Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
416,https://github.com/ror-community/ror-updates/issues/416,"Add a new organization to ROR: 
 
Institute for Social and Political Psychology",Institute of Social and Political Psychology,https://ror.org/05cw90x73,https://ror.org/05h1pdj54,National Academy of Educational Sciences of Ukraine,Parent,Production
416,https://github.com/ror-community/ror-updates/issues/416,"Add a new organization to ROR: 
 
Institute for Social and Political Psychology",National Academy of Educational Sciences of Ukraine,https://ror.org/05h1pdj54,https://ror.org/05cw90x73,Institute of Social and Political Psychology,Child,Release
524,https://github.com/ror-community/ror-updates/issues/524,"Add a new organization to ROR: 
 
Institute for Geometry and Physics",Institute for Geometry and Physics,https://ror.org/02geg2v41,https://ror.org/004fze387,International School for Advanced Studies,Parent,Production
524,https://github.com/ror-community/ror-updates/issues/524,"Add a new organization to ROR: 
 
Institute for Geometry and Physics",International School for Advanced Studies,https://ror.org/004fze387,https://ror.org/02geg2v41,Institute for Geometry and Physics,Child,Release
524,https://github.com/ror-community/ror-updates/issues/524,"Add a new organization to ROR: 
 
Institute for Geometry and Physics",Institute for Geometry and Physics,https://ror.org/02geg2v41,https://ror.org/009gyvm78,International Centre for Theoretical Physics,Parent,Production
524,https://github.com/ror-community/ror-updates/issues/524,"Add a new organization to ROR: 
 
Institute for Geometry and Physics",International Centre for Theoretical Physics,https://ror.org/009gyvm78,https://ror.org/02geg2v41,Institute for Geometry and Physics,Child,Release
451,https://github.com/ror-community/ror-updates/issues/451,"Add a new organization to ROR: 
 
University Museum Utrecht",University Museum Utrecht,https://ror.org/03wvf6198,https://ror.org/04pp8hn57,Utrecht University,Parent,Production
451,https://github.com/ror-community/ror-updates/issues/451,"Add a new organization to ROR: 
 
University Museum Utrecht",Utrecht University,https://ror.org/04pp8hn57,https://ror.org/03wvf6198,University Museum Utrecht,Child,Release
458,https://github.com/ror-community/ror-updates/issues/458,"Add a new organization to ROR: 
 
MAIN CENTER OF SPECIAL MONITORING",Main Center of Special Monitoring,https://ror.org/01pexdp78,https://ror.org/04ev01y75,State Space Agency of Ukraine,Parent,Production
458,https://github.com/ror-community/ror-updates/issues/458,"Add a new organization to ROR: 
 
MAIN CENTER OF SPECIAL MONITORING",State Space Agency of Ukraine,https://ror.org/04ev01y75,https://ror.org/01pexdp78,Main Center of Special Monitoring,Child,Release
